Entity,Code,Year,Number of patents in solar photovoltaic technology,Number of patents in solar thermal technology,Number of patents in solar photovoltaic and thermal hybrid technology,Number of patents in wind energy,Number of patents in hydropower,Number of patents in marine and tidal energy,Number of patents in bioenergy,Number of patents in geothermal energy
Africa,,2000,7,8,1,3,5,1,8,
Africa,,2001,5,10,6,10,3,1,18,
Africa,,2002,3,17,8,22,6,3,9,
Africa,,2003,8,8,5,47,2,1,17,1
Africa,,2004,12,17,6,37,3,4,26,
Africa,,2005,10,28,14,33,5,11,45,1
Africa,,2006,13,19,16,20,7,14,22,
Africa,,2007,20,30,14,36,8,16,42,3
Africa,,2008,36,91,23,48,6,14,47,
Africa,,2009,55,88,11,67,17,29,59,1
Africa,,2010,71,126,37,82,23,23,140,2
Africa,,2011,105,251,28,69,30,41,159,3
Africa,,2012,143,231,21,87,9,16,147,3
Africa,,2013,97,257,30,89,11,23,112,2
Africa,,2014,91,203,21,113,23,18,90,3
Africa,,2015,101,203,10,123,12,16,70,1
Africa,,2016,74,73,14,57,7,10,125,1
Africa,,2017,64,73,18,57,11,14,47,3
Africa,,2018,89,75,22,53,8,7,47,3
Africa,,2019,62,36,10,43,11,13,22,1
Africa,,2020,12,19,4,13,1,5,14,1
Africa,,2021,4,,,,2,1,,1
Algeria,DZA,2001,1,1,2,,,,1,
Algeria,DZA,2002,1,1,,,,,,
Algeria,DZA,2000,,,,,1,,,
Argentina,ARG,2000,3,5,3,14,4,1,16,
Argentina,ARG,2001,1,4,1,7,,,9,
Argentina,ARG,2003,2,1,1,28,7,,4,
Argentina,ARG,2005,11,6,,28,3,3,15,1
Argentina,ARG,2006,17,12,4,14,5,5,23,
Argentina,ARG,2007,6,3,3,18,6,12,48,
Argentina,ARG,2008,9,15,7,12,9,7,65,1
Argentina,ARG,2009,3,8,8,33,5,7,56,
Argentina,ARG,2010,7,8,8,30,5,7,53,
Argentina,ARG,2011,9,13,5,35,6,4,57,1
Argentina,ARG,2012,4,8,9,61,6,3,64,1
Argentina,ARG,2013,6,6,1,77,5,2,50,4
Argentina,ARG,2014,3,5,2,56,9,5,29,
Argentina,ARG,2015,1,4,4,45,5,1,35,
Argentina,ARG,2016,8,6,1,35,4,4,49,4
Argentina,ARG,2017,6,1,4,39,2,2,15,2
Argentina,ARG,2018,7,9,1,9,1,1,14,5
Argentina,ARG,2019,13,9,6,11,3,1,29,4
Argentina,ARG,2020,1,,,1,1,,4,
Argentina,ARG,2002,,3,,47,8,1,4,
Argentina,ARG,2004,,,2,32,3,,4,
Asia,,2000,2077,958,249,512,318,88,1157,58
Asia,,2001,1991,973,261,705,359,94,1150,87
Asia,,2002,1955,1201,232,846,363,88,1297,131
Asia,,2003,2097,1102,286,985,378,88,1391,138
Asia,,2004,2568,1364,259,1131,466,193,1464,130
Asia,,2005,2878,1410,361,1407,548,212,1585,144
Asia,,2006,3666,2258,514,1684,595,270,2357,186
Asia,,2007,5332,2628,565,2162,758,374,2757,233
Asia,,2008,8037,3899,824,3312,1039,526,3369,263
Asia,,2009,12612,5183,1148,5133,1367,753,3545,456
Asia,,2010,16600,6144,1493,5637,1337,798,4143,378
Asia,,2011,18892,6293,1587,6482,1781,898,4445,434
Asia,,2012,19068,6923,1697,6523,1754,988,4744,480
Asia,,2013,17109,6304,1591,5221,1583,933,4584,459
Asia,,2014,18146,5302,2058,5513,1752,1043,5322,502
Asia,,2015,19813,5758,2427,5786,1979,958,5921,530
Asia,,2016,24161,6577,3088,7284,2053,1081,6686,829
Asia,,2017,28145,6715,2358,9535,2359,1064,5986,939
Asia,,2018,30744,6747,1420,10044,2288,1069,5120,831
Asia,,2019,26298,7982,1362,9671,2459,1006,4812,1102
Asia,,2020,28202,10013,1362,11300,2628,1104,3786,1085
Asia,,2021,8065,2258,374,4012,909,396,1084,208
Australia,AUS,2000,145,87,44,154,41,27,139,7
Australia,AUS,2001,196,143,57,191,19,26,159,13
Australia,AUS,2002,159,113,39,171,21,18,123,4
Australia,AUS,2003,318,140,78,264,50,42,205,9
Australia,AUS,2004,118,92,30,132,23,31,84,1
Australia,AUS,2005,106,66,36,116,21,30,91,2
Australia,AUS,2006,136,106,33,111,23,38,130,4
Australia,AUS,2007,206,143,44,172,38,63,210,9
Australia,AUS,2008,221,194,56,224,58,62,230,9
Australia,AUS,2009,317,258,69,271,52,80,287,16
Australia,AUS,2010,384,358,80,352,64,77,348,13
Australia,AUS,2011,342,306,58,238,56,61,338,14
Australia,AUS,2012,284,236,56,222,59,73,267,19
Australia,AUS,2013,277,195,70,244,73,67,281,18
Australia,AUS,2014,219,137,60,218,33,49,221,4
Australia,AUS,2015,306,156,63,150,29,43,194,8
Australia,AUS,2016,286,151,62,100,41,42,154,10
Australia,AUS,2017,283,114,62,183,34,58,193,7
Australia,AUS,2018,358,139,61,224,23,38,138,10
Australia,AUS,2019,356,115,46,156,30,30,153,11
Australia,AUS,2020,207,66,38,71,15,22,84,2
Australia,AUS,2021,144,47,32,49,8,17,37,6
Austria,AUT,2000,70,37,15,100,23,12,81,6
Austria,AUT,2001,52,57,18,83,9,10,76,5
Austria,AUT,2002,71,58,10,131,19,13,85,7
Austria,AUT,2003,49,49,19,88,25,11,70,7
Austria,AUT,2004,78,62,16,75,19,14,83,11
Austria,AUT,2005,103,72,23,81,19,16,70,10
Austria,AUT,2006,101,44,15,71,16,12,76,9
Austria,AUT,2007,116,84,21,98,14,9,75,12
Austria,AUT,2008,123,95,26,121,24,23,90,15
Austria,AUT,2009,83,95,20,82,14,7,52,7
Austria,AUT,2010,51,75,16,50,19,3,30,5
Austria,AUT,2011,35,59,13,37,8,4,20,2
Austria,AUT,2012,27,33,3,24,13,2,11,1
Austria,AUT,2013,20,19,1,15,6,,5,1
Austria,AUT,2014,13,16,12,12,11,1,14,7
Austria,AUT,2015,16,25,2,10,4,,38,3
Austria,AUT,2016,10,12,1,21,5,,11,2
Austria,AUT,2017,7,4,1,10,3,,11,2
Austria,AUT,2018,11,5,1,16,7,,7,2
Austria,AUT,2019,5,16,2,20,4,,7,1
Austria,AUT,2020,4,3,,4,1,,4,
Belarus,BLR,2007,,1,,,,,,
Belgium,BEL,2000,1,6,1,5,,,2,2
Belgium,BEL,2001,2,3,,2,1,,3,
Belgium,BEL,2002,1,3,1,,,,4,
Belgium,BEL,2004,1,,,4,,2,6,
Belgium,BEL,2005,3,5,2,13,1,1,3,2
Belgium,BEL,2006,1,5,,7,2,,2,
Belgium,BEL,2007,3,6,1,18,3,1,4,
Belgium,BEL,2008,4,12,2,8,1,1,2,
Belgium,BEL,2009,4,7,,14,,1,3,1
Belgium,BEL,2010,7,8,,2,2,1,7,
Belgium,BEL,2011,8,9,1,4,2,1,2,3
Belgium,BEL,2012,4,10,3,19,1,1,,1
Belgium,BEL,2013,5,2,2,4,2,2,,
Belgium,BEL,2014,3,14,2,8,2,1,2,2
Belgium,BEL,2015,10,6,1,3,3,1,,1
Belgium,BEL,2016,6,3,1,4,1,,4,
Belgium,BEL,2017,7,4,2,13,1,,3,1
Belgium,BEL,2018,3,4,2,22,3,,4,1
Belgium,BEL,2019,5,2,2,1,1,2,1,
Belgium,BEL,2020,2,,,5,,1,1,
Belgium,BEL,2003,,3,,,1,1,,
Brazil,BRA,2000,13,24,3,40,22,6,46,1
Brazil,BRA,2001,13,64,9,56,33,3,36,1
Brazil,BRA,2002,12,42,10,87,26,2,43,
Brazil,BRA,2003,12,24,13,60,33,7,61,1
Brazil,BRA,2004,16,48,11,67,36,12,70,4
Brazil,BRA,2005,25,50,9,76,34,9,96,3
Brazil,BRA,2006,42,60,10,87,34,23,181,3
Brazil,BRA,2007,75,91,31,148,48,26,301,
Brazil,BRA,2008,95,72,31,127,46,26,369,
Brazil,BRA,2009,129,107,39,235,97,42,441,2
Brazil,BRA,2010,167,161,37,287,61,42,446,5
Brazil,BRA,2011,171,160,26,256,50,31,495,6
Brazil,BRA,2012,160,104,32,269,67,32,470,9
Brazil,BRA,2013,129,78,27,232,50,26,353,7
Brazil,BRA,2014,95,56,26,176,33,15,250,3
Brazil,BRA,2015,106,72,30,171,49,16,228,1
Brazil,BRA,2016,105,47,16,222,38,16,186,1
Brazil,BRA,2017,140,46,30,202,37,16,210,2
Brazil,BRA,2018,119,37,15,225,23,7,167,1
Brazil,BRA,2019,102,37,10,119,35,8,138,6
Brazil,BRA,2020,6,5,,15,5,3,12,
Brazil,BRA,2021,,,,3,,,4,
Bulgaria,BGR,2000,2,4,,,,1,1,
Bulgaria,BGR,2002,1,4,,4,2,,2,
Bulgaria,BGR,2003,3,1,2,2,4,,4,1
Bulgaria,BGR,2005,1,5,1,8,2,2,1,
Bulgaria,BGR,2007,2,2,,4,3,2,,
Bulgaria,BGR,2009,1,3,,4,2,3,,
Bulgaria,BGR,2010,1,2,,2,1,,,
Bulgaria,BGR,2011,2,2,,8,5,4,,
Bulgaria,BGR,2012,4,7,,8,8,,,
Bulgaria,BGR,2015,4,2,,6,3,3,,
Bulgaria,BGR,2016,3,1,,2,2,1,2,
Bulgaria,BGR,2017,3,,,,1,,,
Bulgaria,BGR,2018,5,,2,5,1,1,,
Bulgaria,BGR,2019,3,1,1,3,3,1,2,
Bulgaria,BGR,2020,3,3,,1,4,,,
Bulgaria,BGR,2001,,4,,7,1,,1,
Bulgaria,BGR,2004,,5,1,3,,,1,
Bulgaria,BGR,2006,,2,,8,4,2,2,
Bulgaria,BGR,2008,,5,,4,3,5,,
Bulgaria,BGR,2013,,1,,11,8,,,
Bulgaria,BGR,2014,,,,1,1,1,2,
Canada,CAN,2000,40,30,16,80,26,13,105,
Canada,CAN,2001,55,24,22,77,12,16,99,5
Canada,CAN,2002,66,52,35,116,24,18,129,2
Canada,CAN,2003,58,36,41,139,27,17,95,3
Canada,CAN,2004,79,80,34,153,35,35,129,2
Canada,CAN,2005,89,39,35,148,29,40,171,12
Canada,CAN,2006,106,76,39,184,41,53,228,15
Canada,CAN,2007,171,100,55,254,58,69,374,17
Canada,CAN,2008,219,118,61,305,84,78,360,23
Canada,CAN,2009,271,160,85,415,98,109,492,39
Canada,CAN,2010,303,205,72,515,92,95,514,26
Canada,CAN,2011,277,203,60,451,74,64,524,40
Canada,CAN,2012,226,142,70,364,101,80,447,14
Canada,CAN,2013,213,92,64,392,96,61,410,24
Canada,CAN,2014,183,103,80,317,75,57,339,14
Canada,CAN,2015,193,92,61,298,52,50,277,12
Canada,CAN,2016,176,70,51,291,47,50,227,13
Canada,CAN,2017,179,57,55,257,43,48,211,21
Canada,CAN,2018,189,65,51,285,37,22,220,23
Canada,CAN,2019,207,44,35,149,30,27,179,26
Canada,CAN,2020,74,23,21,77,16,11,67,11
Canada,CAN,2021,7,2,1,14,1,3,3,1
Chile,CHL,2008,6,8,7,11,9,15,33,
Chile,CHL,2009,1,9,2,12,13,12,23,
Chile,CHL,2010,1,1,2,7,6,8,10,1
Chile,CHL,2011,16,45,6,36,20,22,26,
Chile,CHL,2012,17,67,8,35,21,14,39,1
Chile,CHL,2013,19,70,17,57,27,30,32,4
Chile,CHL,2014,38,70,11,69,33,25,23,
Chile,CHL,2015,32,58,10,86,16,16,25,4
Chile,CHL,2016,58,42,7,57,12,17,22,3
Chile,CHL,2017,19,39,9,18,14,7,14,1
Chile,CHL,2018,20,25,5,21,8,10,15,
Chile,CHL,2019,34,41,8,19,9,9,15,3
Chile,CHL,2020,30,29,6,14,6,9,11,6
Chile,CHL,2021,11,16,1,1,1,1,3,
Chile,CHL,2006,,1,,2,,,1,
Chile,CHL,2007,,1,2,3,2,5,6,
Chile,CHL,2004,,,,2,2,,1,
China,CHN,2000,100,444,39,92,68,14,123,15
China,CHN,2001,149,513,51,140,76,28,136,21
China,CHN,2002,230,751,61,196,104,21,186,39
China,CHN,2003,259,683,103,247,120,20,277,53
China,CHN,2004,426,843,90,402,152,100,340,30
China,CHN,2005,566,934,167,605,181,87,459,42
China,CHN,2006,970,1632,273,869,250,119,1038,83
China,CHN,2007,1610,1860,320,1250,344,161,1288,104
China,CHN,2008,2347,2729,454,1850,429,197,1673,113
China,CHN,2009,4134,3667,724,2999,629,264,1759,215
China,CHN,2010,6367,4514,1042,3362,711,341,2173,169
China,CHN,2011,7620,4746,1087,4007,1032,431,2567,217
China,CHN,2012,8368,5480,1202,3941,963,493,2872,256
China,CHN,2013,8027,5127,1190,3185,971,524,2766,237
China,CHN,2014,10096,4297,1553,3365,1144,640,3322,275
China,CHN,2015,12906,5086,2044,4267,1463,582,4178,360
China,CHN,2016,17238,5987,2723,5766,1576,776,5139,589
China,CHN,2017,21910,6232,2129,7962,1897,786,4583,775
China,CHN,2018,24789,6270,1207,8628,1881,851,3773,662
China,CHN,2019,21178,7617,1209,8516,2069,836,3631,934
China,CHN,2020,25905,9803,1265,10729,2420,1033,3175,1007
China,CHN,2021,7502,2215,347,3825,873,372,921,192
Colombia,COL,2009,3,1,1,8,4,4,18,
Colombia,COL,2010,1,,4,4,3,4,19,
Colombia,COL,2011,6,2,4,9,6,5,48,1
Colombia,COL,2012,3,6,3,11,7,3,40,2
Colombia,COL,2013,4,7,4,10,13,4,20,
Colombia,COL,2014,5,,5,12,6,1,15,
Colombia,COL,2015,1,,1,3,2,1,6,
Colombia,COL,2016,2,,,,,,1,
Colombia,COL,2017,10,3,1,9,6,1,5,
Colombia,COL,2018,9,3,1,4,7,1,16,
Colombia,COL,2019,10,11,4,4,2,5,8,1
Colombia,COL,2020,12,4,2,1,4,3,7,3
Colombia,COL,2021,11,6,3,1,6,3,11,1
Colombia,COL,2005,,1,,,,,5,
Colombia,COL,2008,,3,3,5,1,2,6,
Colombia,COL,2001,,,1,1,,,1,
Colombia,COL,2006,,,1,,,,2,
Colombia,COL,2007,,,1,,,,6,
Colombia,COL,2004,,,,1,,,2,
Colombia,COL,2000,,,,,1,,4,
Costa Rica,CRI,2008,2,1,1,,,2,7,
Costa Rica,CRI,2009,2,,,4,1,2,3,
Costa Rica,CRI,2010,1,,1,,,,8,
Costa Rica,CRI,2011,1,1,4,7,1,2,7,1
Costa Rica,CRI,2014,1,,3,4,1,,4,
Costa Rica,CRI,2016,1,,,,,,,1
Costa Rica,CRI,2017,2,2,,,2,,1,
Costa Rica,CRI,2018,5,2,2,3,,,,2
Costa Rica,CRI,2019,2,,1,,2,,4,
Costa Rica,CRI,2004,,1,,2,,,1,
Costa Rica,CRI,2005,,1,,2,1,2,1,
Costa Rica,CRI,2007,,2,1,,,,6,
Costa Rica,CRI,2012,,1,,,1,1,1,
Costa Rica,CRI,2013,,4,2,1,2,1,10,
Costa Rica,CRI,2003,,,1,,,,4,
Costa Rica,CRI,2006,,,,,1,1,,
Costa Rica,CRI,2015,,,,,1,1,7,2
Croatia,HRV,2000,2,3,,3,2,,2,
Croatia,HRV,2005,3,4,,,1,,,
Croatia,HRV,2008,1,4,,5,5,2,1,
Croatia,HRV,2009,1,2,,9,1,,3,
Croatia,HRV,2010,1,5,2,4,2,,,
Croatia,HRV,2011,11,20,,3,9,2,8,
Croatia,HRV,2012,15,14,4,12,1,2,11,1
Croatia,HRV,2013,8,12,2,24,4,1,5,1
Croatia,HRV,2014,6,5,7,25,5,3,6,
Croatia,HRV,2015,1,4,,37,3,2,8,
Croatia,HRV,2016,16,21,6,31,3,,11,6
Croatia,HRV,2017,4,18,8,16,4,2,41,2
Croatia,HRV,2018,15,18,11,5,3,7,34,
Croatia,HRV,2019,29,15,7,22,7,5,37,
Croatia,HRV,2020,16,13,4,16,3,6,22,
Croatia,HRV,2021,20,6,6,13,2,1,11,1
Croatia,HRV,2001,,2,,4,1,,1,
Croatia,HRV,2003,,5,,1,3,,,1
Croatia,HRV,2004,,4,1,7,2,,3,
Croatia,HRV,2006,,4,1,3,2,,4,
Croatia,HRV,2007,,2,1,3,,,2,
Croatia,HRV,2002,,,,3,3,,3,
Cuba,CUB,2000,1,9,,1,,,,
Cuba,CUB,2002,1,1,,,,,2,
Cuba,CUB,2012,1,3,,2,,,3,
Cuba,CUB,2014,1,,10,14,1,,23,
Cuba,CUB,2016,2,,,,,,1,
Cuba,CUB,2017,5,3,,2,2,1,4,
Cuba,CUB,2011,,1,2,,2,3,8,
Cuba,CUB,2013,,4,1,1,1,,8,
Cuba,CUB,2010,,,1,,,2,1,
Cuba,CUB,2015,,,1,1,,,8,
Cuba,CUB,2003,,,,1,,,,
Cuba,CUB,2005,,,,3,1,1,,
Cuba,CUB,2007,,,,2,,,3,
Cuba,CUB,2008,,,,1,,1,2,
Cuba,CUB,2009,,,,4,1,2,2,
Cuba,CUB,2019,,,,,1,,,
Cuba,CUB,2006,,,,,,,1,
Cyprus,CYP,2007,2,7,,3,1,3,1,
Cyprus,CYP,2008,4,6,2,19,1,1,1,2
Cyprus,CYP,2009,2,1,,17,,,7,
Cyprus,CYP,2010,1,5,5,13,1,,2,
Cyprus,CYP,2011,8,12,4,7,,,11,
Cyprus,CYP,2012,8,12,5,23,1,2,9,1
Cyprus,CYP,2013,8,10,1,16,1,2,2,
Cyprus,CYP,2014,4,9,1,23,2,4,7,
Cyprus,CYP,2015,1,4,3,43,,2,5,
Cyprus,CYP,2016,5,7,3,41,2,2,3,2
Cyprus,CYP,2017,3,23,10,13,,2,12,
Cyprus,CYP,2018,5,5,7,10,4,6,9,1
Cyprus,CYP,2006,,1,,,,,2,
Cyprus,CYP,2019,,1,,6,1,3,,
Cyprus,CYP,2005,,,,1,,,,
Cyprus,CYP,2004,,,,,,,1,
Czechia,CZE,2000,3,9,2,2,9,,15,1
Czechia,CZE,2001,5,14,1,5,3,1,14,1
Czechia,CZE,2005,1,15,1,5,5,,16,1
Czechia,CZE,2006,3,16,2,5,8,,17,4
Czechia,CZE,2007,6,11,1,6,16,1,31,4
Czechia,CZE,2008,10,16,,12,8,,9,
Czechia,CZE,2009,12,49,1,12,10,,15,
Czechia,CZE,2010,11,19,1,2,1,1,23,
Czechia,CZE,2011,20,22,,6,5,,23,
Czechia,CZE,2012,10,15,1,9,20,2,44,2
Czechia,CZE,2013,15,11,1,10,5,,5,
Czechia,CZE,2014,8,12,2,3,7,,6,
Czechia,CZE,2015,5,5,,5,3,,5,
Czechia,CZE,2016,7,7,,1,5,,8,
Czechia,CZE,2017,8,8,2,11,3,1,12,
Czechia,CZE,2018,13,7,,2,6,,8,
Czechia,CZE,2019,8,4,4,7,1,,10,
Czechia,CZE,2020,3,2,,2,1,,9,1
Czechia,CZE,2021,6,2,,,,,4,
Czechia,CZE,2002,,10,1,9,4,,9,
Czechia,CZE,2003,,16,,7,6,,15,1
Czechia,CZE,2004,,7,,11,5,,10,2
Denmark,DNK,2000,11,16,4,69,9,6,31,4
Denmark,DNK,2001,9,7,2,74,1,10,27,1
Denmark,DNK,2002,7,20,6,150,4,6,38,3
Denmark,DNK,2003,8,7,5,106,3,3,40,2
Denmark,DNK,2004,9,15,7,123,5,12,36,4
Denmark,DNK,2005,4,10,6,134,6,13,55,3
Denmark,DNK,2006,10,13,11,116,6,10,62,
Denmark,DNK,2007,14,17,11,209,1,6,69,2
Denmark,DNK,2008,28,27,14,294,15,19,86,11
Denmark,DNK,2009,25,28,12,384,13,21,114,12
Denmark,DNK,2010,38,41,15,487,11,29,99,11
Denmark,DNK,2011,39,44,20,606,13,21,134,7
Denmark,DNK,2012,53,35,19,596,16,14,127,2
Denmark,DNK,2013,36,27,18,470,14,17,125,4
Denmark,DNK,2014,54,31,11,463,13,20,76,2
Denmark,DNK,2015,38,27,19,331,9,16,78,1
Denmark,DNK,2016,26,20,15,345,12,14,59,7
Denmark,DNK,2017,24,13,8,306,11,9,29,5
Denmark,DNK,2018,12,6,6,184,,3,20,5
Denmark,DNK,2019,3,5,3,87,1,,15,2
Denmark,DNK,2020,4,3,,26,,,5,
Denmark,DNK,2021,,,,9,1,2,3,
Dominican Republic,DOM,2009,1,1,,2,1,1,2,
Dominican Republic,DOM,2010,1,,1,2,1,2,2,1
Dominican Republic,DOM,2016,2,,1,3,,,1,
Dominican Republic,DOM,2019,1,,,,2,2,1,
Dominican Republic,DOM,2011,,1,3,,1,1,4,
Dominican Republic,DOM,2013,,4,2,1,,,1,
Dominican Republic,DOM,2017,,1,1,,1,,2,
Dominican Republic,DOM,2021,,,1,,,,,
Dominican Republic,DOM,2012,,,,2,,,5,
Dominican Republic,DOM,2015,,,,,1,2,1,
Dominican Republic,DOM,2018,,,,,2,,,
Dominican Republic,DOM,2020,,,,,2,1,,
Dominican Republic,DOM,2006,,,,,,,1,
Dominican Republic,DOM,2007,,,,,,,1,
Dominican Republic,DOM,2014,,,,,,,3,
Ecuador,ECU,2007,2,,1,,,,2,
Ecuador,ECU,2009,2,,1,6,2,4,6,
Ecuador,ECU,2012,1,,,3,2,1,11,
Ecuador,ECU,2013,1,,2,4,4,1,7,
Ecuador,ECU,2014,1,,1,2,,,,
Ecuador,ECU,2017,1,,1,,2,,,
Ecuador,ECU,2018,3,1,1,,3,,3,
Ecuador,ECU,2019,4,3,,,,,,
Ecuador,ECU,2020,1,,,,2,1,,1
Ecuador,ECU,2006,,3,,,2,3,1,
Ecuador,ECU,2011,,1,7,5,7,4,18,
Ecuador,ECU,2015,,3,,,,,6,
Ecuador,ECU,2010,,,3,,10,2,6,
Ecuador,ECU,2005,,,,2,1,2,2,
Ecuador,ECU,2008,,,,2,1,3,2,
Ecuador,ECU,2000,,,,,1,,,
Ecuador,ECU,2016,,,,,,1,,
Ecuador,ECU,2003,,,,,,,2,
Egypt,EGY,2006,4,3,5,2,1,2,1,
Egypt,EGY,2007,1,4,3,3,,1,3,1
Egypt,EGY,2008,1,10,3,4,,1,2,
Egypt,EGY,2009,10,18,1,10,2,3,5,1
Egypt,EGY,2010,7,15,7,5,2,2,6,1
Egypt,EGY,2011,4,16,2,8,2,2,6,
Egypt,EGY,2012,5,4,,2,,,4,
Egypt,EGY,2000,,2,,1,,,3,
Egypt,EGY,2001,,3,1,,1,,,
Egypt,EGY,2002,,1,1,,3,,,
Egypt,EGY,2003,,1,1,,1,,,
Egypt,EGY,2005,,3,2,,,1,3,
Egypt,EGY,2004,,,1,1,,,,
El Salvador,SLV,2010,1,,1,,,,2,1
El Salvador,SLV,2018,1,,,,,,,
El Salvador,SLV,2017,,1,1,,,,2,
El Salvador,SLV,2016,,,1,,,,,
El Salvador,SLV,2009,,,,,1,2,2,
El Salvador,SLV,2011,,,,,1,1,1,
El Salvador,SLV,2013,,,,,1,,,
Estonia,EST,2001,1,,,3,,,2,1
Estonia,EST,2005,4,5,,1,,,,
Estonia,EST,2016,4,2,,2,,,1,
Estonia,EST,2019,2,,,,,,,
Estonia,EST,2008,,6,1,1,,,1,1
Estonia,EST,2009,,1,1,,,,2,
Estonia,EST,2011,,1,,1,,,2,
Estonia,EST,2014,,1,,,,,1,
Estonia,EST,2017,,1,,1,,,,
Estonia,EST,2018,,1,1,,,,,
Estonia,EST,2010,,,1,2,1,1,2,
Estonia,EST,2002,,,,1,1,,2,
Estonia,EST,2007,,,,2,,,,1
Estonia,EST,2012,,,,2,,,,
Estonia,EST,2006,,,,,1,,,
Estonia,EST,2015,,,,,,1,,
Estonia,EST,2000,,,,,,,3,
Estonia,EST,2013,,,,,,,1,
Europe,,2000,529,671,162,817,222,121,612,52
Europe,,2001,481,603,133,993,146,114,600,56
Europe,,2002,514,632,129,1285,224,136,657,63
Europe,,2003,491,620,160,1175,254,128,625,48
Europe,,2004,624,675,151,1129,234,186,653,77
Europe,,2005,878,879,183,1233,275,220,775,86
Europe,,2006,996,1030,213,1387,305,255,982,103
Europe,,2007,1334,1354,307,1945,362,295,1329,183
Europe,,2008,1818,1851,342,2416,508,421,1370,186
Europe,,2009,2319,2376,391,2744,512,406,1551,179
Europe,,2010,2560,2522,405,2881,556,432,1348,165
Europe,,2011,2512,2106,410,3217,556,396,1453,145
Europe,,2012,2182,1639,346,3188,562,328,1428,145
Europe,,2013,1699,1200,276,2506,487,326,1266,124
Europe,,2014,1466,1043,214,2319,455,319,1148,104
Europe,,2015,1360,835,219,1887,376,263,1049,85
Europe,,2016,1276,747,219,2027,357,194,895,104
Europe,,2017,1104,579,181,1970,286,203,759,97
Europe,,2018,1057,482,166,1396,241,137,683,96
Europe,,2019,895,419,132,917,595,93,482,64
Europe,,2020,474,233,47,430,2126,72,261,22
Europe,,2021,143,64,17,102,28,19,49,4
European Union (27),,2000,495,586,150,713,182,94,521,50
European Union (27),,2001,437,536,122,814,87,93,521,51
European Union (27),,2002,453,567,114,1111,159,85,547,58
European Union (27),,2003,432,515,140,883,149,76,513,45
European Union (27),,2004,571,600,139,899,131,121,542,74
European Union (27),,2005,765,765,158,931,141,130,651,74
European Union (27),,2006,871,883,179,1013,173,139,823,89
European Union (27),,2007,1164,1152,261,1440,191,167,1040,157
European Union (27),,2008,1596,1616,275,1829,282,250,1107,161
European Union (27),,2009,2051,2108,308,2106,305,247,1178,161
European Union (27),,2010,2281,2166,311,2274,351,272,995,136
European Union (27),,2011,2228,1869,324,2563,358,240,1107,113
European Union (27),,2012,1864,1415,281,2543,354,196,1112,119
European Union (27),,2013,1428,987,220,2021,325,203,977,94
European Union (27),,2014,1190,801,165,1847,283,210,857,79
European Union (27),,2015,1119,673,175,1497,231,157,799,65
European Union (27),,2016,1034,595,175,1682,222,102,694,75
European Union (27),,2017,857,444,154,1501,178,117,588,74
European Union (27),,2018,841,398,137,1086,156,87,506,71
European Union (27),,2019,725,334,110,657,127,48,370,42
European Union (27),,2020,349,169,35,258,66,33,191,14
European Union (27),,2021,125,53,16,71,17,11,40,3
Finland,FIN,2001,1,,,1,,2,11,
Finland,FIN,2002,2,3,,4,,,3,2
Finland,FIN,2003,1,2,1,,,1,10,
Finland,FIN,2004,2,1,,6,,2,9,3
Finland,FIN,2005,2,1,,7,,3,5,
Finland,FIN,2006,3,4,1,10,2,2,15,4
Finland,FIN,2007,7,2,2,3,2,2,17,1
Finland,FIN,2008,3,11,,15,1,6,23,2
Finland,FIN,2009,7,6,,14,3,1,28,1
Finland,FIN,2010,4,4,2,21,1,4,35,1
Finland,FIN,2011,4,4,2,11,2,4,33,1
Finland,FIN,2012,10,11,5,11,2,4,34,9
Finland,FIN,2013,7,6,2,4,4,5,29,2
Finland,FIN,2014,1,7,1,5,3,4,26,2
Finland,FIN,2015,4,3,1,1,1,,28,
Finland,FIN,2016,7,2,1,9,4,1,26,1
Finland,FIN,2017,5,3,3,6,2,7,27,3
Finland,FIN,2018,10,7,6,5,8,2,29,6
Finland,FIN,2019,19,10,3,,3,,13,5
Finland,FIN,2020,3,2,1,6,2,,4,2
Finland,FIN,2021,1,,,,,,,1
Finland,FIN,2000,,3,1,3,1,,4,
France,FRA,2000,6,29,4,25,10,4,30,4
France,FRA,2001,20,22,4,26,1,1,22,4
France,FRA,2002,24,28,3,30,15,4,20,3
France,FRA,2003,26,35,11,27,11,8,20,5
France,FRA,2004,25,38,9,39,11,11,18,4
France,FRA,2005,39,49,10,24,7,11,36,8
France,FRA,2006,48,72,15,61,6,11,43,5
France,FRA,2007,85,116,29,73,17,20,56,16
France,FRA,2008,161,143,15,97,26,14,70,12
France,FRA,2009,278,263,33,81,24,21,70,18
France,FRA,2010,338,301,30,106,21,36,43,12
France,FRA,2011,259,197,41,115,27,38,61,11
France,FRA,2012,187,128,24,105,32,43,89,15
France,FRA,2013,190,93,26,75,30,35,64,14
France,FRA,2014,162,57,17,89,18,43,55,14
France,FRA,2015,185,92,23,73,16,15,59,12
France,FRA,2016,147,55,12,76,15,16,52,10
France,FRA,2017,117,37,18,74,14,22,49,11
France,FRA,2018,157,54,12,72,16,17,45,7
France,FRA,2019,117,54,12,47,7,10,51,4
France,FRA,2020,28,13,3,22,1,5,32,
France,FRA,2021,2,1,,,,,2,
Georgia,GEO,2000,,1,,2,7,,,
